"date_debut","date_fin","Député","Groupe"
"2017-06-21","2017-06-26","adrien-morenas",NA
"2017-06-27","2017-06-28","adrien-morenas",NA
"2017-06-29","2017-07-21","adrien-morenas",NA
"2017-07-22","2017-07-22","adrien-morenas","NI"
"2017-07-23","2017-07-24","adrien-morenas","NI"
"2017-07-25","2017-08-21","adrien-morenas","LREM"
"2017-08-22","2017-09-05","adrien-morenas","LREM"
"2017-09-06","2017-11-16","adrien-morenas","LREM"
"2017-11-17","2017-11-28","adrien-morenas","LREM"
"2017-11-29","2017-11-29","adrien-morenas","LREM"
"2017-11-30","2017-12-08","adrien-morenas","LREM"
"2017-12-09","2017-12-18","adrien-morenas","LREM"
"2017-12-19","2017-12-24","adrien-morenas","LREM"
"2017-12-25","2017-12-25","adrien-morenas","LREM"
"2017-12-26","2018-01-19","adrien-morenas","LREM"
"2018-01-20","2018-01-23","adrien-morenas","LREM"
"2018-01-24","2018-02-02","adrien-morenas","LREM"
"2018-02-03","2018-02-04","adrien-morenas","LREM"
"2018-02-05","2018-03-12","adrien-morenas","LREM"
"2018-03-13","2018-03-18","adrien-morenas","LREM"
"2018-03-19","2018-03-19","adrien-morenas","LREM"
"2018-03-20","2018-03-25","adrien-morenas","LREM"
"2018-03-26","2018-03-26","adrien-morenas","LREM"
"2018-03-27","2018-04-15","adrien-morenas","LREM"
"2018-04-16","2018-04-22","adrien-morenas","LREM"
"2018-04-23","2018-04-23","adrien-morenas","LREM"
"2018-04-24","2018-04-29","adrien-morenas","LREM"
"2018-04-30","2018-05-02","adrien-morenas","LREM"
"2018-05-03","2018-05-08","adrien-morenas","LREM"
"2018-05-09","2018-06-15","adrien-morenas","LREM"
"2018-06-16","2018-07-06","adrien-morenas","LREM"
"2018-07-07","2018-07-11","adrien-morenas","LREM"
"2018-07-12","2018-07-15","adrien-morenas","LREM"
"2018-07-16","2018-09-11","adrien-morenas","LREM"
"2018-09-12","2018-09-17","adrien-morenas","LREM"
"2018-09-18","2018-09-30","adrien-morenas","LREM"
"2018-10-01","2018-10-03","adrien-morenas","LREM"
"2018-10-04","2018-10-04","adrien-morenas","LREM"
"2018-10-05","2018-10-05","adrien-morenas","LREM"
"2018-10-06","2018-10-17","adrien-morenas","LREM"
"2018-10-18","2018-11-16","adrien-morenas","LREM"
"2018-11-17","2018-11-18","adrien-morenas","LREM"
"2018-11-19","2018-11-25","adrien-morenas","LREM"
"2018-11-26","2018-11-27","adrien-morenas","LREM"
"2018-11-28","2018-12-21","adrien-morenas","LREM"
"2018-12-22","2019-01-08","adrien-morenas","LREM"
"2019-01-09","2019-01-09","adrien-morenas","LREM"
"2019-01-10","2019-01-14","adrien-morenas","LREM"
"2019-01-15","2019-02-14","adrien-morenas","LREM"
"2019-02-15","2019-02-25","adrien-morenas","LREM"
"2019-02-26","2019-02-27","adrien-morenas","LREM"
"2019-02-28","2019-04-27","adrien-morenas","LREM"
"2019-04-28","2019-04-28","adrien-morenas","LREM"
"2019-04-29","2019-04-30","adrien-morenas","LREM"
"2019-05-01","2019-05-01","adrien-morenas","LREM"
"2019-05-02","2019-06-10","adrien-morenas","LREM"
"2019-06-11","2019-06-26","adrien-morenas","LREM"
"2019-06-27","2019-07-01","adrien-morenas","LREM"
"2019-07-02","2019-07-07","adrien-morenas","LREM"
"2019-07-08","2019-07-24","adrien-morenas","LREM"
"2017-06-21","2017-06-26","adrien-quatennens","NI"
"2017-06-27","2017-06-28","adrien-quatennens","LFI"
"2017-06-29","2017-07-21","adrien-quatennens","LFI"
"2017-07-22","2017-07-22","adrien-quatennens","LFI"
"2017-07-23","2017-07-24","adrien-quatennens","LFI"
"2017-07-25","2017-08-21","adrien-quatennens","LFI"
"2017-08-22","2017-09-05","adrien-quatennens","LFI"
"2017-09-06","2017-11-16","adrien-quatennens","LFI"
"2017-11-17","2017-11-28","adrien-quatennens","LFI"
"2017-11-29","2017-11-29","adrien-quatennens","LFI"
"2017-11-30","2017-12-08","adrien-quatennens","LFI"
"2017-12-09","2017-12-18","adrien-quatennens","LFI"
"2017-12-19","2017-12-24","adrien-quatennens","LFI"
"2017-12-25","2017-12-25","adrien-quatennens","LFI"
"2017-12-26","2018-01-19","adrien-quatennens","LFI"
"2018-01-20","2018-01-23","adrien-quatennens","LFI"
"2018-01-24","2018-02-02","adrien-quatennens","LFI"
"2018-02-03","2018-02-04","adrien-quatennens","LFI"
"2018-02-05","2018-03-12","adrien-quatennens","LFI"
"2018-03-13","2018-03-18","adrien-quatennens","LFI"
"2018-03-19","2018-03-19","adrien-quatennens","LFI"
"2018-03-20","2018-03-25","adrien-quatennens","LFI"
"2018-03-26","2018-03-26","adrien-quatennens","LFI"
"2018-03-27","2018-04-15","adrien-quatennens","LFI"
"2018-04-16","2018-04-22","adrien-quatennens","LFI"
"2018-04-23","2018-04-23","adrien-quatennens","LFI"
"2018-04-24","2018-04-29","adrien-quatennens","LFI"
"2018-04-30","2018-05-02","adrien-quatennens","LFI"
"2018-05-03","2018-05-08","adrien-quatennens","LFI"
"2018-05-09","2018-06-15","adrien-quatennens","LFI"
"2018-06-16","2018-07-06","adrien-quatennens","LFI"
"2018-07-07","2018-07-11","adrien-quatennens","LFI"
"2018-07-12","2018-07-15","adrien-quatennens","LFI"
"2018-07-16","2018-09-11","adrien-quatennens","LFI"
"2018-09-12","2018-09-17","adrien-quatennens","LFI"
"2018-09-18","2018-09-30","adrien-quatennens","LFI"
"2018-10-01","2018-10-03","adrien-quatennens","LFI"
"2018-10-04","2018-10-04","adrien-quatennens","LFI"
"2018-10-05","2018-10-05","adrien-quatennens","LFI"
"2018-10-06","2018-10-17","adrien-quatennens","LFI"
"2018-10-18","2018-11-16","adrien-quatennens","LFI"
"2018-11-17","2018-11-18","adrien-quatennens","LFI"
"2018-11-19","2018-11-25","adrien-quatennens","LFI"
"2018-11-26","2018-11-27","adrien-quatennens","LFI"
"2018-11-28","2018-12-21","adrien-quatennens","LFI"
"2018-12-22","2019-01-08","adrien-quatennens","LFI"
"2019-01-09","2019-01-09","adrien-quatennens","LFI"
"2019-01-10","2019-01-14","adrien-quatennens","LFI"
"2019-01-15","2019-02-14","adrien-quatennens","LFI"
"2019-02-15","2019-02-25","adrien-quatennens","LFI"
"2019-02-26","2019-02-27","adrien-quatennens","LFI"
"2019-02-28","2019-04-27","adrien-quatennens","LFI"
"2019-04-28","2019-04-28","adrien-quatennens","LFI"
"2019-04-29","2019-04-30","adrien-quatennens","LFI"
"2019-05-01","2019-05-01","adrien-quatennens","LFI"
"2019-05-02","2019-06-10","adrien-quatennens","LFI"
"2019-06-11","2019-06-26","adrien-quatennens","LFI"
"2019-06-27","2019-07-01","adrien-quatennens","LFI"
"2019-07-02","2019-07-07","adrien-quatennens","LFI"
"2019-07-08","2019-07-24","adrien-quatennens","LFI"
"2017-06-21","2017-06-26","adrien-taquet","NI"
"2017-06-27","2017-06-28","adrien-taquet","LREM"
"2017-06-29","2017-07-21","adrien-taquet","LREM"
"2017-07-22","2017-07-22","adrien-taquet","LREM"
"2017-07-23","2017-07-24","adrien-taquet","LREM"
"2017-07-25","2017-08-21","adrien-taquet","LREM"
"2017-08-22","2017-09-05","adrien-taquet","LREM"
"2017-09-06","2017-11-16","adrien-taquet","LREM"
"2017-11-17","2017-11-28","adrien-taquet","LREM"
"2017-11-29","2017-11-29","adrien-taquet","LREM"
"2017-11-30","2017-12-08","adrien-taquet","LREM"
"2017-12-09","2017-12-18","adrien-taquet","LREM"
"2017-12-19","2017-12-24","adrien-taquet","LREM"
"2017-12-25","2017-12-25","adrien-taquet","LREM"
"2017-12-26","2018-01-19","adrien-taquet","LREM"
"2018-01-20","2018-01-23","adrien-taquet","LREM"
"2018-01-24","2018-02-02","adrien-taquet","LREM"
"2018-02-03","2018-02-04","adrien-taquet","LREM"
"2018-02-05","2018-03-12","adrien-taquet","LREM"
"2018-03-13","2018-03-18","adrien-taquet","LREM"
"2018-03-19","2018-03-19","adrien-taquet","LREM"
"2018-03-20","2018-03-25","adrien-taquet","LREM"
"2018-03-26","2018-03-26","adrien-taquet","LREM"
"2018-03-27","2018-04-15","adrien-taquet","LREM"
"2018-04-16","2018-04-22","adrien-taquet","LREM"
"2018-04-23","2018-04-23","adrien-taquet","LREM"
"2018-04-24","2018-04-29","adrien-taquet","LREM"
"2018-04-30","2018-05-02","adrien-taquet","LREM"
"2018-05-03","2018-05-08","adrien-taquet","LREM"
"2018-05-09","2018-06-15","adrien-taquet","LREM"
"2018-06-16","2018-07-06","adrien-taquet","LREM"
"2018-07-07","2018-07-11","adrien-taquet","LREM"
"2018-07-12","2018-07-15","adrien-taquet","LREM"
"2018-07-16","2018-09-11","adrien-taquet","LREM"
"2018-09-12","2018-09-17","adrien-taquet","LREM"
"2018-09-18","2018-09-30","adrien-taquet","LREM"
"2018-10-01","2018-10-03","adrien-taquet","LREM"
"2018-10-04","2018-10-04","adrien-taquet","LREM"
"2018-10-05","2018-10-05","adrien-taquet","LREM"
"2018-10-06","2018-10-17","adrien-taquet","LREM"
"2018-10-18","2018-11-16","adrien-taquet","LREM"
"2018-11-17","2018-11-18","adrien-taquet","LREM"
"2018-11-19","2018-11-25","adrien-taquet","LREM"
"2018-11-26","2018-11-27","adrien-taquet","LREM"
"2018-11-28","2018-12-21","adrien-taquet","LREM"
"2018-12-22","2019-01-08","adrien-taquet","LREM"
"2019-01-09","2019-01-09","adrien-taquet","LREM"
"2019-01-10","2019-01-14","adrien-taquet","LREM"
"2019-01-15","2019-02-14","adrien-taquet","LREM"
"2019-02-15","2019-02-25","adrien-taquet","LREM"
"2019-02-26","2019-02-27","adrien-taquet",NA
"2019-02-28","2019-04-27","adrien-taquet",NA
"2019-04-28","2019-04-28","adrien-taquet",NA
"2019-04-29","2019-04-30","adrien-taquet",NA
"2019-05-01","2019-05-01","adrien-taquet",NA
"2019-05-02","2019-06-10","adrien-taquet",NA
"2019-06-11","2019-06-26","adrien-taquet",NA
"2019-06-27","2019-07-01","adrien-taquet",NA
"2019-07-02","2019-07-07","adrien-taquet",NA
"2019-07-08","2019-07-24","adrien-taquet",NA
"2017-06-21","2017-06-26","agnes-firmin-le-bodo","NI"
"2017-06-27","2017-06-28","agnes-firmin-le-bodo","LC"
"2017-06-29","2017-07-21","agnes-firmin-le-bodo","LC"
"2017-07-22","2017-07-22","agnes-firmin-le-bodo","LC"
"2017-07-23","2017-07-24","agnes-firmin-le-bodo","LC"
"2017-07-25","2017-08-21","agnes-firmin-le-bodo","LC"
"2017-08-22","2017-09-05","agnes-firmin-le-bodo","LC"
"2017-09-06","2017-11-16","agnes-firmin-le-bodo","LC"
"2017-11-17","2017-11-28","agnes-firmin-le-bodo","LC"
"2017-11-29","2017-11-29","agnes-firmin-le-bodo","UAI"
"2017-11-30","2017-12-08","agnes-firmin-le-bodo","UAI"
"2017-12-09","2017-12-18","agnes-firmin-le-bodo","UAI"
"2017-12-19","2017-12-24","agnes-firmin-le-bodo","UAI"
"2017-12-25","2017-12-25","agnes-firmin-le-bodo","UAI"
"2017-12-26","2018-01-19","agnes-firmin-le-bodo","UAI"
"2018-01-20","2018-01-23","agnes-firmin-le-bodo","UAI"
"2018-01-24","2018-02-02","agnes-firmin-le-bodo","UAI"
"2018-02-03","2018-02-04","agnes-firmin-le-bodo","UAI"
"2018-02-05","2018-03-12","agnes-firmin-le-bodo","UAI"
"2018-03-13","2018-03-18","agnes-firmin-le-bodo","UAI"
"2018-03-19","2018-03-19","agnes-firmin-le-bodo","UAI"
"2018-03-20","2018-03-25","agnes-firmin-le-bodo","UAI"
"2018-03-26","2018-03-26","agnes-firmin-le-bodo","UAI"
"2018-03-27","2018-04-15","agnes-firmin-le-bodo","UAI"
"2018-04-16","2018-04-22","agnes-firmin-le-bodo","UAI"
"2018-04-23","2018-04-23","agnes-firmin-le-bodo","UAI"
"2018-04-24","2018-04-29","agnes-firmin-le-bodo","UAI"
"2018-04-30","2018-05-02","agnes-firmin-le-bodo","UAI"
"2018-05-03","2018-05-08","agnes-firmin-le-bodo","UAI"
"2018-05-09","2018-06-15","agnes-firmin-le-bodo","UAI"
"2018-06-16","2018-07-06","agnes-firmin-le-bodo","UAI"
"2018-07-07","2018-07-11","agnes-firmin-le-bodo","UAI"
"2018-07-12","2018-07-15","agnes-firmin-le-bodo","UAI"
"2018-07-16","2018-09-11","agnes-firmin-le-bodo","UAI"
"2018-09-12","2018-09-17","agnes-firmin-le-bodo","UAI"
"2018-09-18","2018-09-30","agnes-firmin-le-bodo","UAI"
"2018-10-01","2018-10-03","agnes-firmin-le-bodo","UAI"
"2018-10-04","2018-10-04","agnes-firmin-le-bodo","UAI"
"2018-10-05","2018-10-05","agnes-firmin-le-bodo","UAI"
"2018-10-06","2018-10-17","agnes-firmin-le-bodo","UAI"
"2018-10-18","2018-11-16","agnes-firmin-le-bodo","UAI"
"2018-11-17","2018-11-18","agnes-firmin-le-bodo","UAI"
"2018-11-19","2018-11-25","agnes-firmin-le-bodo","UAI"
"2018-11-26","2018-11-27","agnes-firmin-le-bodo","UAI"
"2018-11-28","2018-12-21","agnes-firmin-le-bodo","UAI"
"2018-12-22","2019-01-08","agnes-firmin-le-bodo","UAI"
"2019-01-09","2019-01-09","agnes-firmin-le-bodo","UAI"
"2019-01-10","2019-01-14","agnes-firmin-le-bodo","UAI"
"2019-01-15","2019-02-14","agnes-firmin-le-bodo","UAI"
"2019-02-15","2019-02-25","agnes-firmin-le-bodo","UAI"
"2019-02-26","2019-02-27","agnes-firmin-le-bodo","UAI"
"2019-02-28","2019-04-27","agnes-firmin-le-bodo","UAI"
"2019-04-28","2019-04-28","agnes-firmin-le-bodo","UAI"
"2019-04-29","2019-04-30","agnes-firmin-le-bodo","UAI"
"2019-05-01","2019-05-01","agnes-firmin-le-bodo","UAI"
"2019-05-02","2019-06-10","agnes-firmin-le-bodo","UAI"
"2019-06-11","2019-06-26","agnes-firmin-le-bodo","UDII"
"2019-06-27","2019-07-01","agnes-firmin-le-bodo","UDII"
"2019-07-02","2019-07-07","agnes-firmin-le-bodo","UDII"
"2019-07-08","2019-07-24","agnes-firmin-le-bodo","UDII"
"2017-06-21","2017-06-26","agnes-thill","NI"
"2017-06-27","2017-06-28","agnes-thill","LREM"
"2017-06-29","2017-07-21","agnes-thill","LREM"
"2017-07-22","2017-07-22","agnes-thill","LREM"
"2017-07-23","2017-07-24","agnes-thill","LREM"
"2017-07-25","2017-08-21","agnes-thill","LREM"
"2017-08-22","2017-09-05","agnes-thill","LREM"
"2017-09-06","2017-11-16","agnes-thill","LREM"
"2017-11-17","2017-11-28","agnes-thill","LREM"
"2017-11-29","2017-11-29","agnes-thill","LREM"
"2017-11-30","2017-12-08","agnes-thill","LREM"
"2017-12-09","2017-12-18","agnes-thill","LREM"
"2017-12-19","2017-12-24","agnes-thill","LREM"
"2017-12-25","2017-12-25","agnes-thill","LREM"
"2017-12-26","2018-01-19","agnes-thill","LREM"
"2018-01-20","2018-01-23","agnes-thill","LREM"
"2018-01-24","2018-02-02","agnes-thill","LREM"
"2018-02-03","2018-02-04","agnes-thill","LREM"
"2018-02-05","2018-03-12","agnes-thill","LREM"
"2018-03-13","2018-03-18","agnes-thill","LREM"
"2018-03-19","2018-03-19","agnes-thill","LREM"
"2018-03-20","2018-03-25","agnes-thill","LREM"
"2018-03-26","2018-03-26","agnes-thill","LREM"
"2018-03-27","2018-04-15","agnes-thill","LREM"
"2018-04-16","2018-04-22","agnes-thill","LREM"
"2018-04-23","2018-04-23","agnes-thill","LREM"
"2018-04-24","2018-04-29","agnes-thill","LREM"
"2018-04-30","2018-05-02","agnes-thill","LREM"
"2018-05-03","2018-05-08","agnes-thill","LREM"
"2018-05-09","2018-06-15","agnes-thill","LREM"
"2018-06-16","2018-07-06","agnes-thill","LREM"
"2018-07-07","2018-07-11","agnes-thill","LREM"
"2018-07-12","2018-07-15","agnes-thill","LREM"
"2018-07-16","2018-09-11","agnes-thill","LREM"
"2018-09-12","2018-09-17","agnes-thill","LREM"
"2018-09-18","2018-09-30","agnes-thill","LREM"
"2018-10-01","2018-10-03","agnes-thill","LREM"
"2018-10-04","2018-10-04","agnes-thill","LREM"
"2018-10-05","2018-10-05","agnes-thill","LREM"
"2018-10-06","2018-10-17","agnes-thill","LREM"
"2018-10-18","2018-11-16","agnes-thill","LREM"
"2018-11-17","2018-11-18","agnes-thill","LREM"
"2018-11-19","2018-11-25","agnes-thill","LREM"
"2018-11-26","2018-11-27","agnes-thill","LREM"
"2018-11-28","2018-12-21","agnes-thill","LREM"
"2018-12-22","2019-01-08","agnes-thill","LREM"
"2019-01-09","2019-01-09","agnes-thill","LREM"
"2019-01-10","2019-01-14","agnes-thill","LREM"
"2019-01-15","2019-02-14","agnes-thill","LREM"
"2019-02-15","2019-02-25","agnes-thill","LREM"
"2019-02-26","2019-02-27","agnes-thill","LREM"
"2019-02-28","2019-04-27","agnes-thill","LREM"
"2019-04-28","2019-04-28","agnes-thill","LREM"
"2019-04-29","2019-04-30","agnes-thill","LREM"
"2019-05-01","2019-05-01","agnes-thill","LREM"
"2019-05-02","2019-06-10","agnes-thill","LREM"
"2019-06-11","2019-06-26","agnes-thill","LREM"
"2019-06-27","2019-07-01","agnes-thill","NI"
"2019-07-02","2019-07-07","agnes-thill","NI"
"2019-07-08","2019-07-24","agnes-thill","NI"
"2017-06-21","2017-06-26","aina-kuric","NI"
"2017-06-27","2017-06-28","aina-kuric","LREM"
"2017-06-29","2017-07-21","aina-kuric","LREM"
"2017-07-22","2017-07-22","aina-kuric","LREM"
"2017-07-23","2017-07-24","aina-kuric","LREM"
"2017-07-25","2017-08-21","aina-kuric","LREM"
"2017-08-22","2017-09-05","aina-kuric","LREM"
"2017-09-06","2017-11-16","aina-kuric","LREM"
"2017-11-17","2017-11-28","aina-kuric","LREM"
"2017-11-29","2017-11-29","aina-kuric","LREM"
"2017-11-30","2017-12-08","aina-kuric","LREM"
"2017-12-09","2017-12-18","aina-kuric","LREM"
"2017-12-19","2017-12-24","aina-kuric","LREM"
"2017-12-25","2017-12-25","aina-kuric","LREM"
"2017-12-26","2018-01-19","aina-kuric","LREM"
"2018-01-20","2018-01-23","aina-kuric","LREM"
"2018-01-24","2018-02-02","aina-kuric","LREM"
"2018-02-03","2018-02-04","aina-kuric","LREM"
"2018-02-05","2018-03-12","aina-kuric","LREM"
"2018-03-13","2018-03-18","aina-kuric","LREM"
"2018-03-19","2018-03-19","aina-kuric","LREM"
"2018-03-20","2018-03-25","aina-kuric","LREM"
"2018-03-26","2018-03-26","aina-kuric","LREM"
"2018-03-27","2018-04-15","aina-kuric","LREM"
"2018-04-16","2018-04-22","aina-kuric","LREM"
"2018-04-23","2018-04-23","aina-kuric","LREM"
"2018-04-24","2018-04-29","aina-kuric","LREM"
"2018-04-30","2018-05-02","aina-kuric","LREM"
"2018-05-03","2018-05-08","aina-kuric","LREM"
"2018-05-09","2018-06-15","aina-kuric","LREM"
"2018-06-16","2018-07-06","aina-kuric","LREM"
"2018-07-07","2018-07-11","aina-kuric","LREM"
"2018-07-12","2018-07-15","aina-kuric","LREM"
"2018-07-16","2018-09-11","aina-kuric","LREM"
"2018-09-12","2018-09-17","aina-kuric","LREM"
"2018-09-18","2018-09-30","aina-kuric","LREM"
"2018-10-01","2018-10-03","aina-kuric","LREM"
"2018-10-04","2018-10-04","aina-kuric","LREM"
"2018-10-05","2018-10-05","aina-kuric","LREM"
"2018-10-06","2018-10-17","aina-kuric","LREM"
"2018-10-18","2018-11-16","aina-kuric","LREM"
"2018-11-17","2018-11-18","aina-kuric","LREM"
"2018-11-19","2018-11-25","aina-kuric","LREM"
"2018-11-26","2018-11-27","aina-kuric","LREM"
"2018-11-28","2018-12-21","aina-kuric","LREM"
"2018-12-22","2019-01-08","aina-kuric","LREM"
"2019-01-09","2019-01-09","aina-kuric","LREM"
"2019-01-10","2019-01-14","aina-kuric","LREM"
"2019-01-15","2019-02-14","aina-kuric","LREM"
"2019-02-15","2019-02-25","aina-kuric","LREM"
"2019-02-26","2019-02-27","aina-kuric","LREM"
"2019-02-28","2019-04-27","aina-kuric","LREM"
"2019-04-28","2019-04-28","aina-kuric","LREM"
"2019-04-29","2019-04-30","aina-kuric","LREM"
"2019-05-01","2019-05-01","aina-kuric","LREM"
"2019-05-02","2019-06-10","aina-kuric","LREM"
"2019-06-11","2019-06-26","aina-kuric","LREM"
"2019-06-27","2019-07-01","aina-kuric","LREM"
"2019-07-02","2019-07-07","aina-kuric","LREM"
"2019-07-08","2019-07-24","aina-kuric","LREM"
"2017-06-21","2017-06-26","alain-bruneel","NI"
"2017-06-27","2017-06-28","alain-bruneel","GDR"
"2017-06-29","2017-07-21","alain-bruneel","GDR"
"2017-07-22","2017-07-22","alain-bruneel","GDR"
"2017-07-23","2017-07-24","alain-bruneel","GDR"
"2017-07-25","2017-08-21","alain-bruneel","GDR"
"2017-08-22","2017-09-05","alain-bruneel","GDR"
"2017-09-06","2017-11-16","alain-bruneel","GDR"
"2017-11-17","2017-11-28","alain-bruneel","GDR"
"2017-11-29","2017-11-29","alain-bruneel","GDR"
"2017-11-30","2017-12-08","alain-bruneel","GDR"
"2017-12-09","2017-12-18","alain-bruneel","GDR"
"2017-12-19","2017-12-24","alain-bruneel","GDR"
"2017-12-25","2017-12-25","alain-bruneel","GDR"
"2017-12-26","2018-01-19","alain-bruneel","GDR"
"2018-01-20","2018-01-23","alain-bruneel","GDR"
"2018-01-24","2018-02-02","alain-bruneel","GDR"
"2018-02-03","2018-02-04","alain-bruneel","GDR"
"2018-02-05","2018-03-12","alain-bruneel","GDR"
"2018-03-13","2018-03-18","alain-bruneel","GDR"
"2018-03-19","2018-03-19","alain-bruneel","GDR"
"2018-03-20","2018-03-25","alain-bruneel","GDR"
"2018-03-26","2018-03-26","alain-bruneel","GDR"
"2018-03-27","2018-04-15","alain-bruneel","GDR"
"2018-04-16","2018-04-22","alain-bruneel","GDR"
"2018-04-23","2018-04-23","alain-bruneel","GDR"
"2018-04-24","2018-04-29","alain-bruneel","GDR"
"2018-04-30","2018-05-02","alain-bruneel","GDR"
"2018-05-03","2018-05-08","alain-bruneel","GDR"
"2018-05-09","2018-06-15","alain-bruneel","GDR"
"2018-06-16","2018-07-06","alain-bruneel","GDR"
"2018-07-07","2018-07-11","alain-bruneel","GDR"
"2018-07-12","2018-07-15","alain-bruneel","GDR"
"2018-07-16","2018-09-11","alain-bruneel","GDR"
"2018-09-12","2018-09-17","alain-bruneel","GDR"
"2018-09-18","2018-09-30","alain-bruneel","GDR"
"2018-10-01","2018-10-03","alain-bruneel","GDR"
"2018-10-04","2018-10-04","alain-bruneel","GDR"
"2018-10-05","2018-10-05","alain-bruneel","GDR"
"2018-10-06","2018-10-17","alain-bruneel","GDR"
"2018-10-18","2018-11-16","alain-bruneel","GDR"
"2018-11-17","2018-11-18","alain-bruneel","GDR"
"2018-11-19","2018-11-25","alain-bruneel","GDR"
"2018-11-26","2018-11-27","alain-bruneel","GDR"
"2018-11-28","2018-12-21","alain-bruneel","GDR"
"2018-12-22","2019-01-08","alain-bruneel","GDR"
"2019-01-09","2019-01-09","alain-bruneel","GDR"
"2019-01-10","2019-01-14","alain-bruneel","GDR"
"2019-01-15","2019-02-14","alain-bruneel","GDR"
"2019-02-15","2019-02-25","alain-bruneel","GDR"
"2019-02-26","2019-02-27","alain-bruneel","GDR"
"2019-02-28","2019-04-27","alain-bruneel","GDR"
"2019-04-28","2019-04-28","alain-bruneel","GDR"
"2019-04-29","2019-04-30","alain-bruneel","GDR"
"2019-05-01","2019-05-01","alain-bruneel","GDR"
"2019-05-02","2019-06-10","alain-bruneel","GDR"
"2019-06-11","2019-06-26","alain-bruneel","GDR"
"2019-06-27","2019-07-01","alain-bruneel","GDR"
"2019-07-02","2019-07-07","alain-bruneel","GDR"
"2019-07-08","2019-07-24","alain-bruneel","GDR"
"2017-06-21","2017-06-26","alain-david","NI"
"2017-06-27","2017-06-28","alain-david","NG"
"2017-06-29","2017-07-21","alain-david","NG"
"2017-07-22","2017-07-22","alain-david","NG"
"2017-07-23","2017-07-24","alain-david","NG"
"2017-07-25","2017-08-21","alain-david","NG"
"2017-08-22","2017-09-05","alain-david","NG"
"2017-09-06","2017-11-16","alain-david","NG"
"2017-11-17","2017-11-28","alain-david","NG"
"2017-11-29","2017-11-29","alain-david","NG"
"2017-11-30","2017-12-08","alain-david","NG"
"2017-12-09","2017-12-18","alain-david","NG"
"2017-12-19","2017-12-24","alain-david","NG"
"2017-12-25","2017-12-25","alain-david","NG"
"2017-12-26","2018-01-19","alain-david","NG"
"2018-01-20","2018-01-23","alain-david","NG"
"2018-01-24","2018-02-02","alain-david","NG"
"2018-02-03","2018-02-04","alain-david","NG"
"2018-02-05","2018-03-12","alain-david","NG"
"2018-03-13","2018-03-18","alain-david","NG"
"2018-03-19","2018-03-19","alain-david","NG"
"2018-03-20","2018-03-25","alain-david","NG"
"2018-03-26","2018-03-26","alain-david","NG"
"2018-03-27","2018-04-15","alain-david","NG"
"2018-04-16","2018-04-22","alain-david","NG"
"2018-04-23","2018-04-23","alain-david","NG"
"2018-04-24","2018-04-29","alain-david","NG"
"2018-04-30","2018-05-02","alain-david","NG"
"2018-05-03","2018-05-08","alain-david","NG"
"2018-05-09","2018-06-15","alain-david","NG"
"2018-06-16","2018-07-06","alain-david","NG"
"2018-07-07","2018-07-11","alain-david","NG"
"2018-07-12","2018-07-15","alain-david","NG"
"2018-07-16","2018-09-11","alain-david","NG"
"2018-09-12","2018-09-17","alain-david","SOC"
"2018-09-18","2018-09-30","alain-david","SOC"
"2018-10-01","2018-10-03","alain-david","SOC"
"2018-10-04","2018-10-04","alain-david","SOC"
"2018-10-05","2018-10-05","alain-david","SOC"
"2018-10-06","2018-10-17","alain-david","SOC"
"2018-10-18","2018-11-16","alain-david","SOC"
"2018-11-17","2018-11-18","alain-david","SOC"
"2018-11-19","2018-11-25","alain-david","SOC"
"2018-11-26","2018-11-27","alain-david","SOC"
"2018-11-28","2018-12-21","alain-david","SOC"
"2018-12-22","2019-01-08","alain-david","SOC"
"2019-01-09","2019-01-09","alain-david","SOC"
"2019-01-10","2019-01-14","alain-david","SOC"
"2019-01-15","2019-02-14","alain-david","SOC"
"2019-02-15","2019-02-25","alain-david","SOC"
"2019-02-26","2019-02-27","alain-david","SOC"
"2019-02-28","2019-04-27","alain-david","SOC"
"2019-04-28","2019-04-28","alain-david","SOC"
"2019-04-29","2019-04-30","alain-david","SOC"
"2019-05-01","2019-05-01","alain-david","SOC"
"2019-05-02","2019-06-10","alain-david","SOC"
"2019-06-11","2019-06-26","alain-david","SOC"
"2019-06-27","2019-07-01","alain-david","SOC"
"2019-07-02","2019-07-07","alain-david","SOC"
"2019-07-08","2019-07-24","alain-david","SOC"
"2017-06-21","2017-06-26","alain-perea","NI"
"2017-06-27","2017-06-28","alain-perea","LREM"
"2017-06-29","2017-07-21","alain-perea","LREM"
"2017-07-22","2017-07-22","alain-perea","LREM"
"2017-07-23","2017-07-24","alain-perea","LREM"
"2017-07-25","2017-08-21","alain-perea","LREM"
"2017-08-22","2017-09-05","alain-perea","LREM"
"2017-09-06","2017-11-16","alain-perea","LREM"
"2017-11-17","2017-11-28","alain-perea","LREM"
"2017-11-29","2017-11-29","alain-perea","LREM"
"2017-11-30","2017-12-08","alain-perea","LREM"
"2017-12-09","2017-12-18","alain-perea","LREM"
"2017-12-19","2017-12-24","alain-perea","LREM"
"2017-12-25","2017-12-25","alain-perea","LREM"
"2017-12-26","2018-01-19","alain-perea","LREM"
"2018-01-20","2018-01-23","alain-perea","LREM"
"2018-01-24","2018-02-02","alain-perea","LREM"
"2018-02-03","2018-02-04","alain-perea","LREM"
"2018-02-05","2018-03-12","alain-perea","LREM"
